date,model,equity
2021-09-20,EQUAL_WEIGHT,2.994414049691737
2021-09-21,EQUAL_WEIGHT,3.0226120877524787
2021-09-22,EQUAL_WEIGHT,3.050967034093528
2021-09-23,EQUAL_WEIGHT,3.05589101980108
2021-09-24,EQUAL_WEIGHT,3.0518065379899295
2021-09-27,EQUAL_WEIGHT,2.9578038797991524
2021-09-28,EQUAL_WEIGHT,2.9438253388228555
2021-09-29,EQUAL_WEIGHT,2.9396332143898354
2021-09-30,EQUAL_WEIGHT,2.9698253507243013
2021-10-01,EQUAL_WEIGHT,2.9011829940640292
2021-10-04,EQUAL_WEIGHT,2.940880933460522
2021-10-05,EQUAL_WEIGHT,2.954963124171015
2021-10-06,EQUAL_WEIGHT,2.988992632719101
2021-10-07,EQUAL_WEIGHT,2.9803697773258797
2021-10-08,EQUAL_WEIGHT,2.970116942762848
2021-10-11,EQUAL_WEIGHT,2.9561193760172495
2021-10-12,EQUAL_WEIGHT,2.9803688198317677
2021-10-13,EQUAL_WEIGHT,3.0443352787870412
2021-10-14,EQUAL_WEIGHT,3.0765027023806035
2021-10-15,EQUAL_WEIGHT,3.1222271780679387
2021-10-18,EQUAL_WEIGHT,3.12458174753941
2021-10-19,EQUAL_WEIGHT,3.1279017652178935
2021-10-20,EQUAL_WEIGHT,3.1376283686197066
2021-10-21,EQUAL_WEIGHT,3.087611365517302
2021-10-22,EQUAL_WEIGHT,3.1352431110379215
2021-10-25,EQUAL_WEIGHT,3.1562299492290524
2021-10-26,EQUAL_WEIGHT,3.1509621457427883
2021-10-27,EQUAL_WEIGHT,3.2045610493387255
2021-10-28,EQUAL_WEIGHT,3.2287324831079935
2021-10-29,EQUAL_WEIGHT,3.2742463359958816
2021-11-01,EQUAL_WEIGHT,3.3005889964880573
2021-11-02,EQUAL_WEIGHT,3.358188518056505
2021-11-03,EQUAL_WEIGHT,3.4100890916394575
2021-11-04,EQUAL_WEIGHT,3.423256357825797
2021-11-05,EQUAL_WEIGHT,3.439760081238868
2021-11-08,EQUAL_WEIGHT,3.3693176818047483
2021-11-09,EQUAL_WEIGHT,3.3159420336857046
2021-11-10,EQUAL_WEIGHT,3.329714981706484
2021-11-11,EQUAL_WEIGHT,3.352976952795904
2021-11-12,EQUAL_WEIGHT,3.371840807597077
2021-11-15,EQUAL_WEIGHT,3.3801044022164786
2021-11-16,EQUAL_WEIGHT,3.381259828919846
2021-11-17,EQUAL_WEIGHT,3.4152356669769497
2021-11-18,EQUAL_WEIGHT,3.4604090075070535
2021-11-19,EQUAL_WEIGHT,3.466258183598625
2021-11-22,EQUAL_WEIGHT,3.3971583247041273
2021-11-23,EQUAL_WEIGHT,3.4102771005041626
2021-11-24,EQUAL_WEIGHT,3.3252449851662864
2021-11-26,EQUAL_WEIGHT,3.3884141797582297
2021-11-29,EQUAL_WEIGHT,3.3209425651398172
2021-11-30,EQUAL_WEIGHT,3.2183943999777167
2021-12-01,EQUAL_WEIGHT,3.235708359641667
2021-12-02,EQUAL_WEIGHT,3.173336559248279
2021-12-03,EQUAL_WEIGHT,3.192988602016498
2021-12-06,EQUAL_WEIGHT,3.307200437192764
2021-12-07,EQUAL_WEIGHT,3.3257579070631094
2021-12-08,EQUAL_WEIGHT,3.192244614394578
2021-12-09,EQUAL_WEIGHT,3.2109812634276875
2021-12-10,EQUAL_WEIGHT,3.1633557971958353
2021-12-13,EQUAL_WEIGHT,3.1476180613188354
2021-12-14,EQUAL_WEIGHT,3.212718746435229
2021-12-15,EQUAL_WEIGHT,3.141991498950956
2021-12-16,EQUAL_WEIGHT,3.1944629823302164
2021-12-17,EQUAL_WEIGHT,3.160427533121885
2021-12-20,EQUAL_WEIGHT,3.222889312987059
2021-12-21,EQUAL_WEIGHT,3.2454981982971494
2021-12-22,EQUAL_WEIGHT,3.268689765245391
2021-12-23,EQUAL_WEIGHT,3.3113836634206275
2021-12-27,EQUAL_WEIGHT,3.2922245954232485
2021-12-28,EQUAL_WEIGHT,3.301937204277357
2021-12-29,EQUAL_WEIGHT,3.299661403107491
2021-12-30,EQUAL_WEIGHT,3.2513889757834
2021-12-31,EQUAL_WEIGHT,3.3015302297315055
2022-01-03,EQUAL_WEIGHT,3.267339950809824
2022-01-04,EQUAL_WEIGHT,3.14256307554868
2022-01-05,EQUAL_WEIGHT,3.13316798096567
2022-01-06,EQUAL_WEIGHT,3.109014080919402
2022-01-07,EQUAL_WEIGHT,3.101081908348164
2022-01-10,EQUAL_WEIGHT,3.1280225774932533
2022-01-11,EQUAL_WEIGHT,3.14431522167457
2022-01-12,EQUAL_WEIGHT,3.0175504291072848
2022-01-13,EQUAL_WEIGHT,3.0123919084692
2022-01-14,EQUAL_WEIGHT,2.931970328363758
2022-01-18,EQUAL_WEIGHT,2.896556249247436
2022-01-19,EQUAL_WEIGHT,2.855481215565618
2022-01-20,EQUAL_WEIGHT,2.796291385985735
2022-01-21,EQUAL_WEIGHT,2.7732011334441693
2022-01-24,EQUAL_WEIGHT,2.719825966131609
2022-01-25,EQUAL_WEIGHT,2.7405795201789207
2022-01-26,EQUAL_WEIGHT,2.706930006960507
2022-01-27,EQUAL_WEIGHT,2.7684085472742974
2022-01-28,EQUAL_WEIGHT,2.848242754004911
